timestep,seed,scenario,agent,workload_level,queue_avg,action,selected_latency_s,selected_energy_j,latency_weight,energy_weight,reward,actor_loss,critic_loss,td_error,td_lat,td_eng,replay_priority,phase
0,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,4.0,1,0.09145454545454544,0.11316363636363636,0.37963480414742923,0.6203651958525708,-0.10492210988814489,,,,,,,normal
1,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,0.0,1,0.09,0.11199999999999999,0.44031659023960723,0.5596834097603928,-0.10231303501472863,,,,,,,normal
2,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,1.0,0,0.060625,0.197,0.4794962443769978,0.5205037556230022,-0.13160869967308694,,,,,,,normal
3,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5092651391457473,0.49073486085425266,-0.12827708966453702,,,,,,,normal
4,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,0.0,1,0.09,0.11199999999999999,0.5389351989432839,0.4610648010567161,-0.10014342562324774,,,,,,,normal
5,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,0.0,1,0.09,0.11199999999999999,0.5616613537094056,0.4383386462905944,-0.09964345021839308,,,,,,,normal
6,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,1.0,0,0.060625,0.197,0.5718079508283547,0.42819204917164533,-0.11901969070578314,,,,,,,normal
7,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,1.9000000000000004,0,0.0611875,0.19790000000000002,0.5793706668803834,0.4206293331196166,-0.1186927877041156,,,,,,,normal
8,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,2.710000000000001,0,0.061693750000000006,0.19871000000000003,0.5849482248264243,0.4150517751735757,-0.11856258779012646,,,,,,,normal
9,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,0.0,1,0.09,0.11199999999999999,0.5960682384136152,0.4039317615863848,-0.09888649875490046,,,,,,,normal
10,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,1.0,0,0.060625,0.197,0.5973450411672027,0.40265495883279734,-0.11553707001082275,,,,,,,normal
11,40,ABLATION1_repeated_spike,MOPER_NO_PER,50,0.0,1,0.09,0.11199999999999999,0.6053494496062863,0.39465055039371366,-0.09868231210866169,,,,,,,normal
